# File Format Version = 2
# File Timestamp = 1/23/2018 11:47:46 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-110231.92.buf
# Measurement ID = 69
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

144,87.111,MidAir,2208.91233,4.56093,90.50000,140.76193,149.95108
145,87.525,Alpha,2389.93067,4.94893,86.50000,140.72382,150.92907
146,88.758,Alpha,2319.69943,4.77235,90.50000,142.73123,151.88867
147,91.141,Alpha,2380.46702,4.77486,90.50000,147.13292,153.79213
148,91.213,Alpha,2411.25399,4.83073,90.00000,145.36145,151.68445
149,91.629,MidAir,2104.39659,4.56317,90.50000,136.10317,150.43964
150,92.990,Alpha,2364.91503,4.58881,89.00000,149.95988,152.71692
151,93.158,Alpha,2340.30556,4.79018,90.00000,145.14328,154.05081
152,93.994,Alpha,2349.75165,4.83674,87.50000,141.94960,151.47680
153,94.766,Alpha,2220.52656,4.57581,87.50000,139.43164,148.68428
154,94.838,Alpha,2306.03953,4.86036,89.50000,139.96452,152.16422
155,96.619,MidAir,2228.57348,4.60692,90.50000,139.50085,148.90130
156,96.714,MidAir,2130.64131,4.53098,89.50000,136.90298,149.29952
157,99.761,Alpha,2365.50411,4.85982,88.50000,141.82566,150.92448
158,100.466,MidAir,1946.43324,4.10955,92.50000,135.11207,145.57116
159,101.249,Alpha,2356.75249,4.81512,88.50000,146.29592,155.46967
160,101.828,MidAir,2184.80108,4.67229,91.00000,135.64590,148.34650
161,101.861,Alpha,2499.58993,5.12949,87.50000,146.44155,156.29538
162,102.200,Alpha,1927.80515,3.79323,85.50000,147.13865,151.64480
163,104.040,Alpha,2201.71226,4.82005,87.50000,136.56051,153.63372
164,105.283,Alpha,2397.73748,4.77792,89.50000,145.25131,150.88549
165,106.623,Alpha,2234.86708,4.40424,88.00000,146.95961,151.50636
166,107.274,Alpha,2243.73556,4.77448,87.50000,135.21245,147.69272
167,107.414,Alpha,2439.54102,4.86138,85.50000,146.41500,152.33711
168,108.020,Alpha,2629.45456,5.53212,91.00000,140.76566,152.31066
169,108.966,Alpha,2363.50358,4.63399,89.50000,146.11545,149.88889
170,109.307,MidAir,2167.71893,4.63369,90.00000,136.06668,149.03275
171,109.674,Alpha,2349.94908,5.10854,84.50000,136.24550,152.33427
172,109.713,Alpha,2450.29858,5.04352,89.00000,144.43372,154.32812
173,110.449,Alpha,2320.40886,4.65925,91.00000,144.67674,151.02751
174,110.501,Alpha,2328.97203,4.71638,91.00000,144.81804,152.33291
175,111.016,Alpha,2306.60853,4.99999,88.50000,134.92015,149.64065
176,111.275,MidAir,2151.52288,4.52732,92.50000,138.95035,149.90941
177,112.343,Alpha,2321.51455,4.57477,88.50000,144.32276,148.62238
178,112.354,Alpha,2283.30804,4.65429,89.50000,142.10144,150.04946
179,112.808,Alpha,2426.96518,4.90080,79.50000,143.87565,151.53489
180,113.611,MidAir,2132.49343,4.52228,92.50000,136.34987,147.61495
181,114.041,MidAir,2301.03520,4.48125,89.00000,143.88438,146.74007
182,114.105,Alpha,2396.96382,4.75903,89.50000,147.32757,152.75686
183,114.417,Alpha,2189.26753,4.69020,90.50000,137.35662,150.65155
184,114.509,Alpha,2256.58583,4.75568,90.50000,138.96747,150.75765
185,115.020,Alpha,2332.05815,4.74342,88.50000,143.28063,151.43371
186,115.716,Alpha,2539.94781,5.30332,87.00000,143.86246,155.83151
187,116.039,MidAir,2263.46833,4.62951,90.50000,140.39267,148.44741
188,116.827,Alpha,2388.03748,4.83829,88.50000,142.81389,150.32316
189,117.416,Alpha,2362.79175,4.87756,88.50000,141.61334,151.28970
190,118.043,MidAir,2204.86439,4.61595,89.00000,137.82927,148.61584
191,118.592,MidAir,2214.00896,4.55902,90.50000,140.00391,148.81880
192,119.023,Alpha,2303.67694,4.81924,91.00000,140.87525,151.88837
193,120.166,Alpha,2490.97789,4.81803,85.50000,148.85739,151.22066
194,121.559,Alpha,2281.27883,4.90944,90.50000,137.51036,151.56656
195,121.808,Alpha,2203.69577,4.62676,86.00000,135.30332,146.17943
196,122.151,Alpha,2326.70616,4.80881,87.00000,144.93802,155.57478
197,122.614,MidAir,2155.56640,4.69150,91.00000,135.35588,150.14405
198,122.662,MidAir,2199.81971,4.75604,89.50000,134.90308,149.06855
199,122.786,Alpha,2310.86682,4.71895,90.50000,142.78674,150.90044
200,123.348,MidAir,2218.55390,4.74263,89.00000,135.95769,148.84828
201,123.475,Alpha,2506.85622,5.10950,88.00000,145.99675,154.81695
202,123.792,Alpha,2352.90779,5.03306,91.50000,140.29344,153.92546
203,124.346,Alpha,2329.62429,4.71354,86.50000,141.47545,148.73148
204,124.393,Alpha,2319.20761,4.74961,89.00000,144.30276,153.35849
205,125.066,MidAir,2229.46901,4.61588,88.00000,137.93991,147.51982
206,126.405,Alpha,1849.87512,3.52144,87.00000,148.05342,148.46680
207,126.856,Alpha,2283.11647,5.11403,88.00000,133.57862,152.34819
208,128.837,Alpha,2310.86528,4.64696,89.50000,144.68127,151.39308
209,129.142,MidAir,2224.33015,4.66026,91.50000,139.64375,150.44396
210,129.296,MidAir,2288.12915,4.62459,91.00000,143.52216,150.64668
211,129.546,Alpha,2339.50297,4.62637,87.50000,143.21255,147.83464
212,129.561,Alpha,2407.13530,4.78435,87.50000,145.86149,151.37312
213,130.496,Alpha,2392.92579,4.94341,87.50000,140.34488,150.10606
214,130.847,Alpha,2317.70379,4.75914,90.50000,142.48815,151.43860
215,131.299,MidAir,2223.20820,4.72925,88.50000,135.44856,147.71907
216,133.591,Alpha,2298.44630,4.67607,90.50000,144.59927,152.85112
217,135.613,MidAir,2232.08758,4.78128,90.00000,136.38292,149.79591
218,135.770,Alpha,2399.57331,4.97180,88.50000,143.48187,154.18915
219,136.021,Alpha,2392.55198,4.80255,89.50000,144.65147,151.17556
220,136.163,Alpha,2053.45722,4.58627,90.50000,133.77568,151.38743
221,136.592,MidAir,2217.45297,4.52092,89.50000,139.81356,147.66296
222,136.924,Alpha,2507.43123,5.05662,88.00000,144.21634,151.36833
223,137.477,Alpha,2299.38080,4.70363,87.00000,140.69491,149.20197
224,140.228,Alpha,2291.75721,4.96364,91.50000,137.40695,152.13695
225,140.277,Alpha,2275.47663,4.68897,91.50000,142.54057,151.77900
226,140.728,MidAir,2258.35665,4.71997,90.00000,139.06566,149.86492
227,141.242,Alpha,2361.13395,4.86130,85.50000,141.29885,150.83181
228,142.602,Alpha,2356.32787,4.75656,87.00000,146.90987,154.57999
229,143.416,MidAir,2343.84425,4.62882,89.00000,144.35424,148.86570
230,143.804,Alpha,2419.33343,4.90811,89.50000,145.29965,153.34557
231,144.145,Alpha,2316.40429,5.00014,88.50000,137.40278,152.36491
232,144.378,Alpha,2370.22323,4.82639,87.00000,141.37537,149.57799
233,146.346,Alpha,2383.48574,4.71482,88.50000,144.95575,149.76877
234,146.839,Alpha,2449.24535,4.85254,87.00000,149.23231,154.69513
235,148.324,Alpha,2310.61823,4.63311,87.50000,142.35171,148.51811
236,149.483,Alpha,2412.18054,4.82070,87.50000,147.00658,153.32348
237,149.516,MidAir,3211.57267,7.86101,91.50000,124.25424,149.03721
238,149.845,MidAir,2195.19233,4.80654,91.00000,134.57538,149.81528
239,150.570,Alpha,2371.66953,4.82002,89.00000,141.52457,149.20376
